,user1,user2
0,0,1
1,0,3
2,1,3
3,1,44
4,1,2
5,1,0
6,1,4
7,2,1
8,3,1
9,3,51
10,3,16
11,3,44
12,3,2215
13,3,344
14,3,3210
15,3,324
16,3,3216
17,3,4320
18,3,1040
19,3,1323
20,3,3190
21,3,309
22,3,440
23,3,577
24,3,812
25,3,726
26,3,1073
27,3,3792
28,3,422
29,3,77
30,3,491
31,3,441
32,3,58
33,3,57
34,3,425
35,3,3259
36,3,411
37,3,83
38,3,3207
39,3,149
40,3,153
41,3,445
42,3,3335
43,3,13
44,3,2629
45,3,2211
46,3,1018
47,3,3686
48,3,3367
49,3,485
50,3,3798
51,3,14
52,3,3359
53,3,3672
54,3,40
55,3,3199
56,3,3649
57,3,3382
58,3,32
59,3,150
60,3,499
61,3,3198
62,3,52
63,3,3623
64,3,3406
65,3,11786
66,3,151
67,3,160
68,3,1022
69,3,3355
70,3,3626
71,3,3213
72,3,1037
73,3,385
74,3,3842
75,3,1074
76,3,158
77,3,3899
78,3,1949
79,3,1048
80,3,69
81,3,3394
82,3,1060
83,3,20
84,3,1046
85,3,3196
86,3,147
87,3,490
88,3,3205
89,3,35
90,3,24
91,3,65
92,3,3633
93,3,9
94,3,457
95,3,13562
96,3,39
97,3,26
98,3,3931
99,3,71
100,3,3934
101,3,8
102,3,3197
103,3,3353
104,3,353
105,3,79
106,3,10457
107,3,17635
108,3,17490
109,3,37
110,3,18
111,3,28
112,3,17788
113,3,17789
114,3,17791
115,3,41908
116,3,21
117,3,73
118,3,62
119,3,2
120,3,5
121,3,0
122,3,30
123,3,53
124,3,42765
125,3,70
126,3,74
127,3,12
128,3,45
129,3,61
130,3,23
131,3,64
132,3,80
133,3,82
134,3,75
135,3,72
136,3,42766
137,3,27
138,3,34
139,3,33
140,3,60
141,3,50
142,3,66
143,3,11
144,4,1
145,5,1
146,5,3
147,5,44
148,5,29
149,5,62
150,5,60
151,5,50
152,6,3
153,7,3
154,8,3
155,8,360
156,8,51
157,8,44
158,8,344
159,8,324
160,8,3216
161,8,1040
162,8,3190
163,8,3164
164,8,4512
165,8,77
166,8,441
167,8,58
168,8,3259
